Nom;Prix;Adresse;Image_lien
Mouton;250 000 CFA;Guediawaye, Dakar, Sénégal;background-image:url(https://images.coinafrique.com/thumb_805188_uploaded_image1_1564750708.3.png)
Mouton de race;350 000 CFA;Sénégal;background-image:url(https://images.coinafrique.com/thumb_806719_uploaded_image1_1564781347.58.png)
Moutons;700 000 CFA;Dakar, Sénégal;background-image:url(https://images.coinafrique.com/thumb_808844_uploaded_image1_1564855896.73.png)
Moutons;700 000 CFA;Dakar, Sénégal;background-image:url(https://images.coinafrique.com/thumb_808847_uploaded_image1_1564855996.2.png)
Moutons;650 000 CFA;Dakar, Sénégal;background-image:url(https://images.coinafrique.com/thumb_808861_uploaded_image1_1564856185.45.png)
Moutons;200 000 CFA;Sénégal;background-image:url(https://images.coinafrique.com/thumb_811594_uploaded_image1_1564961187.75.png)
Moutons;700 000 CFA;Dakar, Sénégal;background-image:url(https://images.coinafrique.com/thumb_811659_uploaded_image1_1564966498.04.png)
Moutons;500 000 CFA;Dakar, Sénégal;background-image:url(https://images.coinafrique.com/thumb_811661_uploaded_image1_1564966582.22.png)
Mouton;200 000 CFA;Les Parcelles Assainies, Dakar, Sénégal;background-image:url(https://images.coinafrique.com/thumb_812873_uploaded_image1_1565005940.44.png)
Mouton;200 000 CFA;Sénégal;background-image:url(https://images.coinafrique.com/thumb_813339_uploaded_image1_1565013644.12.png)
Mouton;100 000 CFA;Sénégal;background-image:url(https://images.coinafrique.com/thumb_813350_uploaded_image1_1565013886.42.png)
Mouton de Tabaski;200 000 CFA;Sénégal;background-image:url(https://images.coinafrique.com/thumb_814608_uploaded_image1_1565037403.53.png)
Mouton;450 000 CFA;Sénégal;background-image:url(https://images.coinafrique.com/thumb_816757_uploaded_image1_1565095118.35.png)
Moutons;200 000 CFA;Sénégal;background-image:url(https://images.coinafrique.com/thumb_816772_uploaded_image1_1565095331.9.png)
Mouton;125 000 CFA;Guédiawaye, Dakar, Sénégal;background-image:url(https://images.coinafrique.com/thumb_817625_uploaded_image1_1565109322.3.png)
Moutons Ladoum;600 000 CFA;Mbour, Sénégal;background-image:url(https://images.coinafrique.com/thumb_821121_uploaded_image1_1565195094.42.png)
